german	russian
nehmen, nimmt, nahm, hat genommen (Notiz nehmen von jmd.)	брать (замечать ч.-л., обращать внимание на ч.-л.)
normalerweise	обычно
die Notiz (Sg.) (Notiz nehmen von jmd.)	запись, заметка (замечать ч.-л., обращать внимание на ч.-л.)
offensichtlich	очевидно
die Runde, -n (Gestern haben wir bei mir gegrillt und es war eine lustige Runde.)	круг, общество (Вчера мы делали шашлыки, и была весёлая компания.)
sauer, saurer, am sauersten	хмурый, кислый, недовольный, обиженный
schauen	смотреть
das Schicksal, -e	судьба
schimpfen	ругаться
schließen, schließt, schloss, hat geschlossen (Schließ das Fenster, bitte.)	закрывать (Закрой окно, пожалуйста.)
der Schrank, "-e	шкаф
der Schreibtisch, -e	письменный стол
die Sprung, "-e	прыжок
spucken	плевать; выпленуть
stoßen, stößt, stieß, hat gestoßen (Er hat das Glas vom Tisch gestoßen.)	столкнуть (Он столкнул стакан со стола.)
der Strumpf, "-e	чулок, носок
die Stunde, -n	час
tragen, trägt, trug, hat getragen (etw. in der Hand tragen)	нести (нести что-то в руке)
die Tür, -en	дверь
überglücklich	очень счастливый
überhaupt	вообще, совсем
die Uhr, -en	часы
unruhig	беспокойный
die Unterlagen (PI.)	документы
verschlafen, verschläft, verschlief, hat verschlafen	проспать
voll	полный
was für ein	что за, какой
die Wäsche (Sg.)	бельё, стирка
wieder	снова
der Wind, -e	ветер
wohl	пожалуй
wunderbar	чудесно
die Zahnpasta, -pasten	зубная паста
zeigen	показать
zusammenkommen, kommt zusammen, kam zusammen, ist zusammengekommen	встречаться, собираться
als (Dieser Tag endete viel besser, als ich dachte.)	чем (Этот день закончился гораздо лучше, чем я предполагал.)
der Anfang, "-e	начало
der/die Erzähler/in, -/-nen	рассказчик
das Missgeschick, -e	несчастье, неудача
der Ausdruck, "-e (Kennst du den Ausdruck "Kopf hoch!"?	выражение (Тебе знакомо выражение "Выше голову!"?)
beachten	обращать внимание
das Ding, -e	вещь
durcheinander	сбитый с толку
die Erklärung, -en	объяснение
schaden	вредить
schnell	быстро
überzeugen (von + D.)	убеждать
tun, tut, tat, hat getan (zu tun haben mit etw./jmd.)	делать (иметь дело с к./ч.-л.)
der Unglückstag, -e	несчастный день, чёрный день
das Pech (Sg.)	неудача
der Spiegel, -	зеркало
zerbrechen, zerbricht, zerbracht, ist zerbrochen	разбить
ab (+ D.) (ab sofort)	от, с (с этой минуты, с этого момента)
die Eckdaten (PI.)	контрольные цифры
etwa	около, приблизительно
die Freizeit (Sg.)	свободное время, досуг
die Geburt, -en	роды
gehen, geht, ging, ist gegangen (Es geht mi gut.)	идти (Мои дела идут хорошо.)
der Kreißsaal, "-e	родильная палата
lang, länger, am längsten (Unsere Eva war bei der Geburt 54 cm lang.)	длинный (Наша Ева при рождении была ростом в 54 см.)
normal	нормально
übermüdet	переутомлённый
üblich	обычный, принятый
verlaufen, verläuft, verlief, ist verlaufen (Die Operation ist normal verlaufen.)	протекать, проходить (Операция прошла нормально.)
weitgehend	в значительной мере
wiegen, wiegt, wog, hat gewogen	весить
Zentimeter (cm)	сантиметр (см)
aussprechen, spricht aus, sprach aus, hat ausgesprochen	произносить
die Freude, -n	радость
froh	радостный
der Glückwunsch, "-e (herzlichen Glückwunsch)	поздравление (От души поздравляю!)
gratulieren	поздравлять
die Nachricht, -en	сообщение, весть
reagieren (auf + A.)	реагировать
riesig	очень сильно
schicken	посылать, отправлять
senden	посылать, отправлять
wünschen	желать
die Antwort-E-Mail, -s	электронное письмо-ответ
das Baby, -s	младенец
bedanken (sich) (bei + D.)	благодарить
beglückwünschen (zu + D.)	поздравлять
besuchen	посещать, навещать
erkundigen (sich) (nach + D.) (bei + D.)	наводить справки, разузнавать
fragen	спросить
das Geschenk, -e	подарок
kaufen	покупать
der Punkt, -e (Wie viele Punkte stehen heute auf der Tagesordnung?)	пункт, единица (Сколько пунктов в распорядке дня на сегодня?)
abgeschlossen (Dieser Vorgang ist noch nicht abgeschlossen.)	законченный, завершённый (Этот процесс ещё не завершён.)
die Abschaffung (Sg.) (Ich bin für die ‚Abschaffung der Studiengebühren.)	упразднение, отмена (Я за отмену платного обучения.)
ähnlich	похожий, подобный
anerkennen, erkennt an, erkannte an, hat anerkannt	признать
die Antwort, -en	ответ
auffallen, fällt auf, fiel auf, ist aufgefallen	обращать на себя внимание
auftreten, tritt auf, trat auf, ist aufgetreten	выступать
der Ausschnitt, -e (Dieser Ausschnitt des Fotos gefällt mir besonders gut.)	вырезка, отрывок, отрезок, часть (Эта вырезка из фотографии мне особенно нравится.)
ausüben	оказывать
die Auszeichnung, -en	награда, знак отличия
begegnen	попадаться, встречаться
das Benefizprojekt, -e	бенефис-проект
bereits	уже
die Beschäftigung, -en	занятие
bewundern (für + A.)	восхищаться
der Charakterzug, "-e	черта характера
da (Da, wo ich herkomme, fühle ich mich zu Hause.)	там (Там, откуда я родом, чувствую я себя дома.)
dahin	туда
denn (Ich bin so glücklich, denn ich habe einen tollen Mann kennengelernt.)	потому что (Я так счастлива, потому что познакомилась с замечательным мужчиной.)
derzeitig	нынешний, теперешний
diejenige, derjenige, dasjenige	те
der/die Dirigent/in, -en/-nen	дирижёр
die Echtheit (Sg.)	подлинность
der Einblick, -e	представление
der Einfluss, "-e	влияние
das Engagement, -s	ангажемент, активность, деятельность
das Ensemble, -s	ансамбль, коллектив
der Erfolg, -e	успех
der Fehler, -	ошибка
die Förderung, -en	содействие
der Fragebogen, -	анкета, вопросник
geben, gibt, gab, hat gegeben (Einblick geben in etw.)	давать (познакомить, ввести в курс дела)
gegenseitig	обоюдно, взаимно, друг друга
das Geheimnis, -se	секрет
